episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
1,0.43832968,-133.23648062,0,150,1.21514141,1.00000000,,0,150,0.5781
2,0.24367882,-70.33018281,0,150,0.68030595,0.99500000,,0,300,1.3093
3,-0.60389518,-94.72294353,0,150,0.94636306,0.99002500,,0,450,1.9075
4,0.11700905,-23.87923268,0,150,0.24869673,0.98507488,0.05254479,101,600,2.9318
5,0.64896684,-57.13213375,1,125,0.02114559,0.98014950,0.01114666,226,725,3.6695
6,0.38688319,-91.97343545,0,150,0.40847917,0.97524875,0.03702939,376,875,4.6574
7,-0.17968020,11.10672924,1,72,0.02206766,0.97037251,0.01748669,448,947,5.1810
8,-0.21943329,-133.29012354,0,150,1.69814781,0.96552065,0.04997847,598,1097,6.2105
9,0.45987631,-136.75792789,0,150,1.06907549,0.96069304,0.03151509,748,1247,7.1709
10,0.70790591,-55.93818594,0,150,0.69836479,0.95588958,0.03394110,898,1397,9.4162
11,0.18522073,2.47981929,1,128,0.02442224,0.95111013,0.03924889,1026,1525,10.3533
12,-0.78219681,-88.93420324,0,150,0.76184574,0.94635458,0.04103073,1176,1675,11.4345
13,-0.44407753,-52.19943090,0,150,0.90292233,0.94162281,0.03671474,1326,1825,12.4129
14,0.53160349,-21.96152742,0,150,0.63477532,0.93691469,0.03033879,1476,1975,13.4585
15,0.36180168,13.87433559,1,80,0.01693815,0.93223012,0.03783277,1556,2055,13.9590
16,0.29466673,-54.84144018,0,150,0.98824733,0.92756897,0.03410361,1706,2205,14.9609
17,-0.30558112,-233.34749621,0,150,1.96748894,0.92293112,0.03412087,1856,2355,16.1034
18,0.14039545,16.57631359,1,19,0.00338221,0.91831647,0.03047337,1875,2374,16.2101
19,-0.28114590,-149.83460963,0,150,1.52129330,0.91372489,0.03823693,2025,2524,17.1911
20,-0.20100115,-16.16146486,0,150,0.32572594,0.90915626,0.03679757,2175,2674,18.3633
21,0.17491227,12.99264719,1,32,0.02786203,0.90461048,0.02814725,2207,2706,18.5862
22,0.09612700,16.90774864,1,16,0.02330008,0.90008743,0.03054735,2223,2722,18.6840
23,0.70958952,-12.54495778,1,96,0.03575358,0.89558699,0.04108753,2319,2818,19.3175
24,-0.72417362,-53.99127174,0,150,0.10569813,0.89110906,0.03283775,2469,2968,20.2154
25,0.67797420,-59.39556523,0,150,0.29580715,0.88665351,0.03855045,2619,3118,21.2111
26,-0.13706960,16.68622412,1,18,0.00485709,0.88222024,0.03744290,2637,3136,21.3176
