policy,name,checkpoint,goal_angle,episode,seed,success,terminated,truncated,cumulative_reward,episode_length,final_absolute_error,decrease_actions,hold_actions,increase_actions,action_changes
dqn,config_b,models/config_b_final.pt,-0.8,1,42,True,True,False,10.842534302687271,23,0.0029360313873466604,14,5,4,7
dqn,config_b,models/config_b_final.pt,-0.8,2,43,True,True,False,10.842534302687271,23,0.0029360313873466604,14,5,4,7
dqn,config_b,models/config_b_final.pt,-0.8,3,44,True,True,False,10.842534302687271,23,0.0029360313873466604,14,5,4,7
dqn,config_b,models/config_b_final.pt,-0.8,4,45,True,True,False,10.842534302687271,23,0.0029360313873466604,14,5,4,7
dqn,config_b,models/config_b_final.pt,-0.8,5,46,True,True,False,10.842534302687271,23,0.0029360313873466604,14,5,4,7
dqn,config_b,models/config_b_final.pt,-0.4,1,142,True,True,False,15.422085572220384,17,0.016232079854734238,8,5,4,7
dqn,config_b,models/config_b_final.pt,-0.4,2,143,True,True,False,15.422085572220384,17,0.016232079854734238,8,5,4,7
dqn,config_b,models/config_b_final.pt,-0.4,3,144,True,True,False,15.422085572220384,17,0.016232079854734238,8,5,4,7
dqn,config_b,models/config_b_final.pt,-0.4,4,145,True,True,False,15.422085572220384,17,0.016232079854734238,8,5,4,7
dqn,config_b,models/config_b_final.pt,-0.4,5,146,True,True,False,15.422085572220384,17,0.016232079854734238,8,5,4,7
dqn,config_b,models/config_b_final.pt,0.4,1,242,True,True,False,15.523443224979564,17,0.01865198689538239,3,6,8,6
dqn,config_b,models/config_b_final.pt,0.4,2,243,True,True,False,15.523443224979564,17,0.01865198689538239,3,6,8,6
dqn,config_b,models/config_b_final.pt,0.4,3,244,True,True,False,15.523443224979564,17,0.01865198689538239,3,6,8,6
dqn,config_b,models/config_b_final.pt,0.4,4,245,True,True,False,15.523443224979564,17,0.01865198689538239,3,6,8,6
dqn,config_b,models/config_b_final.pt,0.4,5,246,True,True,False,15.523443224979564,17,0.01865198689538239,3,6,8,6
dqn,config_b,models/config_b_final.pt,0.8,1,342,True,True,False,10.847254209441598,22,0.0129041855773383,5,2,15,5
dqn,config_b,models/config_b_final.pt,0.8,2,343,True,True,False,10.847254209441598,22,0.0129041855773383,5,2,15,5
dqn,config_b,models/config_b_final.pt,0.8,3,344,True,True,False,10.847254209441598,22,0.0129041855773383,5,2,15,5
dqn,config_b,models/config_b_final.pt,0.8,4,345,True,True,False,10.847254209441598,22,0.0129041855773383,5,2,15,5
dqn,config_b,models/config_b_final.pt,0.8,5,346,True,True,False,10.847254209441598,22,0.0129041855773383,5,2,15,5
