episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
1,0.43832968,-133.23648062,0,150,1.21514141,1.00000000,,0,150,0.7204
2,0.24367882,-70.33018281,0,150,0.68030595,0.98500000,,0,300,1.3598
3,-0.60389518,-94.72294353,0,150,0.94636306,0.97022500,,0,450,2.0227
4,0.11700905,-6.94276551,1,111,0.00108931,0.95567163,0.08036777,62,561,2.8623
5,0.64896684,-73.50623529,0,150,0.09406533,0.94133655,0.02679591,212,711,3.7454
6,0.38688319,-98.27005555,0,150,0.83879773,0.92721650,0.03971522,362,861,4.7923
7,-0.17968020,-46.72991705,0,150,0.88954762,0.91330825,0.03393432,512,1011,5.6480
8,-0.21943329,-206.48898096,0,150,2.04938163,0.89960863,0.03486750,662,1161,6.6346
9,0.45987631,-7.38288202,1,116,0.03764192,0.88611450,0.03236933,778,1277,7.3492
10,0.70790591,-81.15029558,0,150,1.00365408,0.87282278,0.02777424,928,1427,8.2626
11,0.18522073,16.44308347,1,17,0.00097135,0.85973044,0.02586158,945,1444,8.3669
12,-0.78219681,-188.88752770,0,150,1.49982892,0.84683449,0.04948790,1095,1594,9.3817
13,-0.44407753,-198.96596110,0,150,1.78180459,0.83413197,0.02738267,1245,1744,10.3289
14,0.53160349,6.14151598,1,39,0.02866516,0.82161999,0.05845088,1284,1783,10.5955
15,0.36180168,-150.33950173,0,150,1.63371674,0.80929569,0.03331839,1434,1933,11.6163
16,0.29466673,18.93450381,1,33,0.01127049,0.79715625,0.01453672,1467,1966,11.8073
17,-0.30558112,-241.12135974,0,150,2.26835278,0.78519891,0.04436002,1617,2116,13.1431
18,0.14039545,-134.09826517,0,150,1.71366787,0.77342093,0.03921352,1767,2266,14.4171
19,-0.28114590,-210.21016106,0,150,2.14318367,0.76181961,0.02807511,1917,2416,15.3255
20,-0.20100115,-206.75271860,0,150,2.04123355,0.75039232,0.04071874,2067,2566,16.2270
21,0.17491227,16.18348773,1,22,0.03142500,0.73913643,0.02369252,2089,2588,16.3820
22,0.09612700,-14.34473973,0,150,0.24528083,0.72804939,0.02619619,2239,2738,17.4597
23,0.70958952,-6.68483432,0,150,0.16744828,0.71712865,0.04076174,2389,2888,18.4145
24,-0.72417362,-82.11905710,0,150,0.55667393,0.70637172,0.03434339,2539,3038,19.4452
25,0.67797420,9.25296641,1,27,0.02147281,0.69577614,0.02892266,2566,3065,19.6784
26,-0.13706960,7.29111564,1,108,0.00905357,0.68533950,0.02275973,2674,3173,20.4150
27,-0.02501324,18.41618864,1,11,0.02745484,0.67505941,0.01347936,2685,3184,20.4911
28,0.12859580,15.87832349,1,66,0.03460410,0.66493351,0.03693150,2751,3250,20.9490
29,-0.19082425,15.87546408,1,20,0.03124618,0.65495951,0.08525661,2771,3270,21.0824
30,-0.39453812,9.92792537,1,96,0.03627128,0.64513512,0.03554184,2867,3366,21.9442
31,0.54053878,25.03428659,1,144,0.03753940,0.63545809,0.04194342,3011,3510,22.9213
32,-0.01178210,26.39842600,1,39,0.00671046,0.62592622,0.05696623,3050,3549,23.1868
33,0.63100523,9.92286990,1,32,0.00281319,0.61653733,0.05772114,3082,3581,23.3958
34,-0.45873331,-16.94712900,0,150,0.02160163,0.60728927,0.04908067,3232,3731,24.3543
35,0.49013041,7.19826868,1,37,0.00321675,0.59817993,0.06965692,3269,3768,24.6439
36,0.45749169,17.50897535,1,85,0.01210157,0.58920723,0.04560997,3354,3853,25.1923
37,-0.12981906,17.01889352,1,15,0.00514560,0.58036912,0.04386796,3369,3868,25.3003
38,0.67136382,13.38080461,1,47,0.02621149,0.57166358,0.05306584,3416,3915,25.6190
39,0.37838613,17.30075117,1,21,0.01293240,0.56308863,0.06388796,3437,3936,25.7352
40,-0.10541873,17.20990120,1,12,0.02223751,0.55464230,0.06494913,3449,3948,25.8087
41,0.79622200,-8.96623531,1,48,0.03063895,0.54632267,0.05012518,3497,3996,26.0834
42,-0.29373709,13.33489462,1,39,0.02497019,0.53812783,0.05934688,3536,4035,26.3200
43,0.37135718,14.02784128,1,23,0.00307595,0.53005591,0.05648646,3559,4058,26.5132
44,-0.72908321,9.06009656,1,82,0.01898600,0.52210507,0.04994625,3641,4140,26.9690
45,0.18473971,15.67581299,1,28,0.02796557,0.51427349,0.05088532,3669,4168,27.1287
46,0.11321029,16.76295495,1,17,0.01972371,0.50655939,0.04879308,3686,4185,27.2231
47,-0.47000750,17.12127427,1,65,0.02205047,0.49896100,0.05072786,3751,4250,27.8236
48,0.12124343,17.02037730,1,18,0.00801784,0.49147659,0.07840030,3769,4268,27.9978
49,-0.20426755,16.93149906,1,13,0.03625083,0.48410444,0.08875929,3782,4281,28.1201
50,-0.34706711,29.50657589,1,64,0.01882928,0.47684287,0.06898397,3846,4345,29.1631
51,0.16138287,17.06111303,1,33,0.00474921,0.46969023,0.05796745,3879,4378,29.5184
52,0.77678460,7.32697953,1,46,0.00128455,0.46264487,0.06667017,3925,4424,29.9488
53,-0.41652652,18.16833576,1,24,0.02121175,0.45570520,0.06311732,3949,4448,30.1172
54,0.06633041,20.16179454,1,16,0.01194965,0.44886962,0.04520846,3965,4464,30.2763
55,0.36667044,20.41008109,1,25,0.02432100,0.44213658,0.06638857,3990,4489,30.4759
56,0.27883745,16.14746436,1,17,0.00029332,0.43550453,0.06881578,4007,4506,30.6109
57,0.70984887,11.58501049,1,23,0.00702553,0.42897196,0.07623411,4030,4529,30.9208
58,0.00964908,17.92280737,1,8,0.00964908,0.42253738,0.06319950,4038,4537,30.9890
59,0.53597061,8.03361269,1,34,0.01303974,0.41619932,0.06597386,4072,4571,31.2125
60,0.70965201,8.00578859,1,32,0.01721967,0.40995633,0.06455597,4104,4603,31.4856
61,-0.54401417,13.64145580,1,19,0.01405029,0.40380699,0.08509956,4123,4622,31.6223
62,-0.29970683,15.73042826,1,18,0.03108535,0.39774988,0.08525464,4141,4640,31.7588
63,0.54170370,13.77779364,1,23,0.00676961,0.39178363,0.05281607,4164,4663,31.9536
64,0.22111253,16.94661467,1,14,0.00323410,0.38590688,0.05956276,4178,4677,32.0535
65,0.77185257,10.72163267,1,49,0.00524475,0.38011828,0.08035093,4227,4726,32.3900
66,0.23765747,16.74574133,1,15,0.00253351,0.37441650,0.07858825,4242,4741,32.5006
67,0.56959011,18.51224603,1,63,0.01603376,0.36880026,0.07977476,4305,4804,33.0721
68,0.06998760,17.45638510,1,10,0.00276516,0.36326825,0.07536698,4315,4814,33.1558
69,0.68878850,13.09908955,1,31,0.03333035,0.35781923,0.06524615,4346,4845,33.3868
70,-0.55414183,13.40172665,1,30,0.02624903,0.35245194,0.09066471,4376,4875,33.6499
71,-0.61366558,11.99373912,1,23,0.01843024,0.34716516,0.06238990,4399,4898,33.8191
72,-0.68707503,8.72290197,1,29,0.02927682,0.34195768,0.05420127,4428,4927,33.9984
73,0.36462124,15.26456989,1,20,0.02875052,0.33682832,0.08747918,4448,4947,34.1530
74,0.32374084,15.87456200,1,18,0.00562516,0.33177589,0.06887545,4466,4965,34.2748
75,-0.52420837,18.73429437,1,25,0.00264815,0.32679925,0.06706067,4491,4990,34.4590
76,0.60001882,12.01468397,1,27,0.01919855,0.32189727,0.08584392,4518,5017,34.6503
77,0.68910343,10.89718194,1,31,0.00336641,0.31706881,0.08114058,4549,5048,34.8543
