simulation_time,target_angle_rad,joint_angle_rad,joint_velocity_rad_s,angle_error_rad,commanded_torque_nm
0.002000,-0.800000,-0.002577,-1.288532,-0.797423,-17.881420
0.012000,-0.800000,-0.038279,-4.619986,-0.761721,-8.927474
0.022000,-0.800000,-0.092630,-5.821990,-0.707370,-4.963329
0.032000,-0.800000,-0.153508,-6.189559,-0.646492,-2.761797
0.042000,-0.800000,-0.214333,-5.717725,-0.585667,-1.673498
0.052000,-0.800000,-0.265324,-4.823795,-0.534676,-2.898965
0.062000,-0.800000,-0.311525,-4.520287,-0.488475,-2.686520
0.072000,-0.800000,-0.355715,-4.359896,-0.444285,-2.127138
0.082000,-0.800000,-0.398301,-4.182839,-0.401699,-1.578440
0.092000,-0.800000,-0.438765,-3.948654,-0.361235,-1.184534
0.102000,-0.800000,-0.476620,-3.672481,-0.323380,-0.931540
0.112000,-0.800000,-0.511572,-3.375914,-0.288428,-0.785420
0.122000,-0.800000,-0.543524,-3.074445,-0.256476,-0.712259
0.132000,-0.800000,-0.572481,-2.778072,-0.227519,-0.694829
0.142000,-0.800000,-0.598559,-2.496763,-0.201441,-0.708906
0.152000,-0.800000,-0.621937,-2.234293,-0.178063,-0.741996
0.162000,-0.800000,-0.642804,-1.990726,-0.157196,-0.789338
0.172000,-0.800000,-0.661349,-1.766485,-0.138651,-0.847628
0.182000,-0.800000,-0.677775,-1.562630,-0.122225,-0.910445
0.192000,-0.800000,-0.692283,-1.378968,-0.107717,-0.973773
0.202000,-0.800000,-0.705072,-1.214603,-0.094928,-1.035182
0.212000,-0.800000,-0.716325,-1.068124,-0.083675,-1.093379
0.222000,-0.800000,-0.726211,-0.937693,-0.073789,-1.148691
0.232000,-0.800000,-0.734885,-0.822370,-0.065115,-1.199803
0.242000,-0.800000,-0.742488,-0.720741,-0.057512,-1.246321
0.252000,-0.800000,-0.749150,-0.631302,-0.050850,-1.288500
0.262000,-0.800000,-0.754977,-0.551454,-0.045023,-1.328513
0.272000,-0.800000,-0.760061,-0.480970,-0.039939,-1.366287
0.282000,-0.800000,-0.764496,-0.419671,-0.035504,-1.399538
0.292000,-0.800000,-0.768368,-0.366495,-0.031632,-1.428392
0.302000,-0.800000,-0.771750,-0.320260,-0.028250,-1.453569
0.312000,-0.800000,-0.774706,-0.279798,-0.025294,-1.476137
0.322000,-0.800000,-0.777287,-0.244393,-0.022713,-1.496503
0.332000,-0.800000,-0.779542,-0.213440,-0.020458,-1.514876
0.342000,-0.800000,-0.781511,-0.186409,-0.018489,-1.531447
0.352000,-0.800000,-0.783232,-0.162829,-0.016768,-1.546383
0.362000,-0.800000,-0.784734,-0.142296,-0.015266,-1.559833
0.372000,-0.800000,-0.786049,-0.124587,-0.013951,-1.571673
0.382000,-0.800000,-0.787202,-0.109362,-0.012798,-1.581928
0.392000,-0.800000,-0.788215,-0.096257,-0.011785,-1.590850
0.402000,-0.800000,-0.789108,-0.084960,-0.010892,-1.598661
0.412000,-0.800000,-0.789905,-0.076672,-0.010095,-1.603191
0.422000,-0.800000,-0.790616,-0.066467,-0.009384,-1.610004
0.432000,-0.800000,-0.791199,-0.052793,-0.008801,-1.628826
0.442000,-0.800000,-0.791654,-0.041062,-0.008346,-1.647844
0.452000,-0.800000,-0.792009,-0.032193,-0.007991,-1.663197
0.462000,-0.800000,-0.792290,-0.025684,-0.007710,-1.675277
